Freq [GHz],"dB(S(1,1))","dB(S(2,2))","dB(S(3,3))","dB(S(4,4))"
3.06,-14.64690753,-10.437761,-21.08564087,-14.04930411
3.07,-14.76492949,-10.47364811,-21.40222027,-14.15959375
3.08,-14.88352274,-10.50965819,-21.72446476,-14.27116857
3.09,-15.0026371,-10.5458003,-22.05199474,-14.38405914
3.1,-15.12221797,-10.58208364,-22.38427509,-14.49829737
3.11,-15.24220605,-10.61851761,-22.72057827,-14.61391659
3.12,-15.36253699,-10.65511176,-23.05994102,-14.73095156
3.13,-15.48314098,-10.69187577,-23.40111464,-14.84943858
3.14,-15.60394247,-10.72881952,-23.74250951,-14.96941556
3.15,-15.7248597,-10.76595298,-24.08213595,-15.09092205
3.16,-15.84580439,-10.80328629,-24.41754519,-15.21399937
3.17,-15.96668126,-10.84082973,-24.7457769,-15.33869065
3.18,-16.08738771,-10.87859372,-25.06332288,-15.46504095
3.19,-16.20781337,-10.9165888,-25.36612036,-15.5930973
3.2,-16.32783973,-10.95482565,-25.64959101,-15.72290888
3.21,-16.44733977,-10.99331509,-25.90874331,-15.85452704
3.22,-16.56617761,-11.03206808,-26.1383527,-15.98800543
3.23,-16.68420817,-11.07109572,-26.33322534,-16.12340016
3.24,-16.80127692,-11.11040922,-26.48853495,-16.26076985
3.25,-16.91721966,-11.15001999,-26.6002019,-16.4001758
3.26,-17.03186232,-11.18993952,-26.66526244,-16.54168213
3.27,-17.14502097,-11.2301795,-26.68216483,-16.6853559
3.28,-17.25650175,-11.27075176,-26.65093361,-16.83126725
3.29,-17.36610109,-11.31166828,-26.57316689,-16.97948961
3.3,-17.47360594,-11.35294122,-26.45186723,-17.13009983
3.31,-17.57879417,-11.39458289,-26.29114224,-17.28317834
3.32,-17.68143522,-11.43660581,-26.09583409,-17.43880941
3.33,-17.78129078,-11.47902265,-25.87114112,-17.59708127
3.34,-17.87811582,-11.5218463,-25.62228285,-17.75808638
3.35,-17.97165972,-11.56508983,-25.35423889,-17.92192161
3.36,-18.06166769,-11.60876655,-25.0715713,-18.08868851
3.37,-18.14788233,-11.65288994,-24.77832457,-18.25849352
3.38,-18.23004549,-11.69747375,-24.47798819,-18.43144824
3.39,-18.3079003,-11.74253193,-24.17350465,-18.60766973
3.4,-18.38119342,-11.78807871,-23.86730636,-18.78728072
3.41,-18.44967742,-11.83412855,-23.56136848,-18.97040996
3.42,-18.51311335,-11.88069619,-23.25726807,-19.15719249
3.43,-18.57127341,-11.92779664,-22.95624312,-19.34776993
3.44,-18.62394363,-11.97544519,-22.65924791,-19.54229081
3.45,-18.67092663,-12.02365746,-22.36700252,-19.74091085
3.46,-18.71204424,-12.07244934,-22.08003593,-19.94379326
3.47,-18.74714007,-12.12183709,-21.79872273,-20.15110901
3.48,-18.77608182,-12.17183726,-21.52331383,-20.36303709
3.49,-18.79876343,-12.22246679,-21.25396188,-20.57976472
3.5,-18.81510684,-12.27374296,-20.99074214,-20.80148751
3.51,-18.82506344,-12.32568343,-20.73366947,-21.02840948
3.52,-18.82861506,-12.37830625,-20.48271201,-21.26074309
3.53,-18.82577461,-12.4316299,-20.23780227,-21.49870901
3.54,-18.81658613,-12.48567324,-19.998846,-21.74253572
3.55,-18.80112454,-12.54045561,-19.76572924,-21.99245887
3.56,-18.77949478,-12.59599676,-19.53832397,-22.24872026
3.57,-18.75183063,-12.65231694,-19.31649254,-22.5115664
3.58,-18.71829312,-12.70943689,-19.10009122,-22.78124639
3.59,-18.67906853,-12.76737783,-18.88897293,-23.05800914
3.6,-18.63436622,-12.82616151,-18.68298942,-23.34209949
3.61,-18.58441608,-12.88581024,-18.4819929,-23.63375307
3.62,-18.529466,-12.94634688,-18.28583734,-23.93318946
3.63,-18.46977907,-13.00779486,-18.0943794,-24.24060322
3.64,-18.40563085,-13.07017824,-17.9074792,-24.55615207
3.65,-18.33730662,-13.13352169,-17.72500077,-24.87994159
3.66,-18.26509873,-13.19785051,-17.54681248,-25.21200533
3.67,-18.18930403,-13.26319072,-17.37278721,-25.55227923
3.68,-18.11022146,-13.32956899,-17.20280255,-25.90056883
3.69,-18.02814987,-13.39701275,-17.03674082,-26.25650763
3.7,-17.94338592,-13.46555016,-16.87448911,-26.61950466
3.71,-17.85622234,-13.53521016,-16.71593922,-26.9886793
3.72,-17.76694627,-13.60602251,-16.56098757,-27.36278161
3.73,-17.6758379,-13.6780178,-16.40953515,-27.74009725
3.74,-17.58316929,-13.75122751,-16.26148735,-28.11833775
3.75,-17.48920332,-13.82568401,-16.11675384,-28.49452009
3.76,-17.39419298,-13.90142062,-15.97524843,-28.86484481
3.77,-17.29838066,-13.97847165,-15.83688894,-29.22458956
3.78,-17.20199767,-14.05687242,-15.70159699,-29.5680455
3.79,-17.10526392,-14.13665933,-15.56929792,-29.88853463
3.8,-17.00838766,-14.21786987,-15.43992057,-30.17855472
3.81,-16.91156535,-14.30054271,-15.31339719,-30.43009634
3.82,-16.81498162,-14.38471772,-15.18966322,-30.63515641
3.83,-16.71880929,-14.470436,-15.06865722,-30.78642747
3.84,-16.62320945,-14.55774002,-14.95032068,-30.87807809
3.85,-16.52833161,-14.64667358,-14.83459787,-30.90647768
3.86,-16.43431384,-14.73728194,-14.72143577,-30.87069361
3.87,-16.34128299,-14.82961187,-14.61078387,-30.77262598
3.88,-16.2493549,-14.9237117,-14.50259412,-30.61674131
3.89,-16.15863462,-15.01963143,-14.39682073,-30.40948086
3.9,-16.06921669,-15.11742278,-14.29342011,-30.15849797
3.91,-15.98118534,-15.21713931,-14.19235078,-29.8718946
3.92,-15.89461479,-15.31883648,-14.09357318,-29.55758484
3.93,-15.80956949,-15.42257177,-13.99704966,-29.22284773
3.94,-15.72610435,-15.52840478,-13.90274434,-28.87407206
3.95,-15.64426504,-15.63639735,-13.81062302,-28.51665956
3.96,-15.56408821,-15.74661366,-13.72065309,-28.15503956
3.97,-15.48560178,-15.85912038,-13.63280348,-27.79275069
3.98,-15.40882518,-15.97398681,-13.54704451,-27.43255493
3.99,-15.33376965,-16.09128504,-13.46334789,-27.07656045
4,-15.26043847,-16.21109009,-13.38168659,-26.72633911
4.01,-15.18882729,-16.33348009,-13.30203482,-26.3830315
4.02,-15.1189244,-16.45853649,-13.2243679,-26.04743682
4.03,-15.05071105,-16.58634424,-13.14866227,-25.7200875
4.04,-14.98416182,-16.71699203,-13.07489536,-25.40130982
4.05,-14.91924491,-16.8505725,-13.00304557,-25.09127252
4.06,-14.85592261,-16.98718256,-12.93309224,-24.79002524
4.07,-14.79415166,-17.1269236,-12.86501553,-24.49752868
4.08,-14.73388376,-17.26990182,-12.79879644,-24.2136781
4.09,-14.67506602,-17.4162286,-12.73441671,-23.9383215
4.1,-14.61764157,-17.56602078,-12.67185882,-23.67127371
4.11,-14.56155013,-17.71940113,-12.61110591,-23.41232707
4.12,-14.50672871,-17.87649875,-12.55214179,-23.16125964
4.13,-14.45311234,-18.03744951,-12.49495085,-22.91784143
4.14,-14.40063487,-18.20239658,-12.43951807,-22.68183901
4.15,-14.34922989,-18.37149099,-12.38582897,-22.45301902
4.16,-14.2988317,-18.54489224,-12.33386956,-22.23115068
4.17,-14.2493764,-18.72276896,-12.28362638,-22.01600764
4.18,-14.20080304,-18.90529961,-12.23508641,-21.80736924
4.19,-14.15305489,-19.09267333,-12.18823708,-21.60502145
4.2,-14.1060808,-19.2850908,-12.14306625,-21.40875733
