Freq [GHz],S12_Simulated,S12_Measured,S13_Simulated,S13_Measured,S14_Simulated,S14_Measured
7.38,-18.43051,-19.76216,-18.57517,-19.34617,-17.72484,-17.74303
7.39,-18.33068,-19.63409,-18.54729,-19.29012,-17.6024,-17.62364
7.4,-18.23335,-19.5087,-18.52137,-19.23435,-17.48131,-17.50651
7.41,-18.13868,-19.38624,-18.49759,-19.17912,-17.36183,-17.39184
7.42,-18.04681,-19.26695,-18.47618,-19.12472,-17.24421,-17.27982
7.43,-17.95792,-19.15106,-18.45739,-19.07146,-17.12872,-17.17064
7.44,-17.87218,-19.03881,-18.4415,-19.01968,-17.01564,-17.06452
7.45,-17.78979,-18.93043,-18.4288,-18.96973,-16.90526,-16.96165
7.46,-17.71094,-18.82616,-18.41962,-18.92199,-16.79787,-16.86225
7.47,-17.63584,-18.72622,-18.41429,-18.87683,-16.69378,-16.76653
7.48,-17.5647,-18.63084,-18.41315,-18.83467,-16.59331,-16.67471
7.49,-17.49775,-18.54024,-18.41658,-18.79594,-16.49677,-16.58699
7.5,-17.43522,-18.45462,-18.42495,-18.76106,-16.4045,-16.50361
7.51,-17.37734,-18.37419,-18.43864,-18.7305,-16.31683,-16.42477
7.52,-17.32437,-18.29915,-18.45803,-18.7047,-16.23408,-16.35069
7.53,-17.27654,-18.22967,-18.4835,-18.68413,-16.15658,-16.28158
7.54,-17.23409,-18.16593,-18.51544,-18.66924,-16.08466,-16.21764
7.55,-17.19727,-18.10809,-18.55421,-18.6605,-16.01864,-16.15908
7.56,-17.16632,-18.05629,-18.60018,-18.65835,-15.95883,-16.10609
7.57,-17.14145,-18.01065,-18.65367,-18.66322,-15.90553,-16.05885
7.58,-17.1229,-17.97131,-18.71502,-18.67551,-15.85903,-16.01753
7.59,-17.11086,-17.93834,-18.78451,-18.6956,-15.81958,-15.98229
7.6,-17.10552,-17.91183,-18.8624,-18.72383,-15.78745,-15.95329
7.61,-17.10704,-17.89185,-18.94891,-18.76051,-15.76285,-15.93064
7.62,-17.11559,-17.87842,-19.04422,-18.80588,-15.74598,-15.91447
7.63,-17.13127,-17.8716,-19.14848,-18.86017,-15.73702,-15.90487
7.64,-17.15418,-17.87137,-19.26178,-18.92352,-15.73611,-15.90192
7.65,-17.1844,-17.87773,-19.38419,-18.99603,-15.74336,-15.90568
7.66,-17.22195,-17.89065,-19.51569,-19.07773,-15.75887,-15.91619
7.67,-17.26684,-17.9101,-19.65626,-19.16861,-15.78268,-15.93345
7.68,-17.31906,-17.93601,-19.8058,-19.26858,-15.81481,-15.95748
7.69,-17.37854,-17.96831,-19.9642,-19.37752,-15.85527,-15.98825
7.7,-17.44521,-18.00692,-20.13128,-19.49524,-15.90401,-16.02571
7.71,-17.51895,-18.05174,-20.30685,-19.62151,-15.96098,-16.06981
7.72,-17.59962,-18.10266,-20.49067,-19.75605,-16.02608,-16.12046
7.73,-17.68706,-18.15956,-20.68247,-19.89855,-16.09923,-16.17758
7.74,-17.78109,-18.22232,-20.88197,-20.04865,-16.18027,-16.24104
7.75,-17.88151,-18.29081,-21.08886,-20.206,-16.26908,-16.31073
7.76,-17.9881,-18.36488,-21.30283,-20.37021,-16.36549,-16.3865
7.77,-18.10062,-18.4444,-21.52353,-20.54085,-16.46934,-16.46822
7.78,-18.21885,-18.52922,-21.75063,-20.71754,-16.58044,-16.55571
7.79,-18.34254,-18.61919,-21.98378,-20.89985,-16.69861,-16.64883
7.8,-18.47145,-18.71417,-22.22264,-21.08738,-16.82368,-16.74739
