Freq [GHz],S12,S13,S14,S23,S24,S34
8.15,-25.32532,-30.646,-24.50528,-20.40759,-29.2783,-21.57948
8.16,-25.58802,-30.71096,-24.79168,-20.62026,-29.31456,-21.85572
8.17,-25.85322,-30.7562,-25.07827,-20.83769,-29.34194,-22.13678
8.18,-26.12017,-30.78277,-25.36428,-21.05991,-29.36091,-22.42232
8.19,-26.38797,-30.79217,-25.64883,-21.28693,-29.37207,-22.71196
8.2,-26.65552,-30.78629,-25.93095,-21.51875,-29.37608,-23.00533
8.21,-26.92156,-30.76731,-26.20956,-21.75533,-29.37372,-23.30203
8.22,-27.18464,-30.73767,-26.4835,-21.99656,-29.36587,-23.60165
8.23,-27.44313,-30.69992,-26.75148,-22.24232,-29.35347,-23.90372
8.24,-27.69522,-30.6567,-27.01217,-22.49242,-29.33755,-24.20773
8.25,-27.93898,-30.6106,-27.26415,-22.74661,-29.31922,-24.51313
8.26,-28.17238,-30.56411,-27.50597,-23.00457,-29.29961,-24.81927
8.27,-28.39331,-30.51957,-27.73616,-23.26589,-29.2799,-25.12539
8.28,-28.59969,-30.47907,-27.95331,-23.5301,-29.26128,-25.4306
8.29,-28.78951,-30.4445,-28.15605,-23.79663,-29.24494,-25.73385
8.3,-28.96089,-30.41743,-28.34314,-24.0648,-29.23203,-26.03391
8.31,-29.11221,-30.3992,-28.5135,-24.33384,-29.22369,-26.32931
8.32,-29.24212,-30.39082,-28.66626,-24.60287,-29.22094,-26.61835
8.33,-29.34965,-30.39307,-28.80078,-24.87092,-29.22477,-26.89908
8.34,-29.43422,-30.40646,-28.91669,-25.13691,-29.23602,-27.16928
8.35,-29.49565,-30.43126,-29.01392,-25.39965,-29.25544,-27.42649
8.36,-29.5342,-30.46755,-29.09268,-25.6579,-29.28363,-27.66807
8.37,-29.55051,-30.51523,-29.15343,-25.91035,-29.32108,-27.89127
8.38,-29.54555,-30.57403,-29.19692,-26.15564,-29.36809,-28.09333
8.39,-29.52059,-30.64359,-29.22409,-26.39241,-29.42486,-28.27163
8.4,-29.47708,-30.72343,-29.23608,-26.61931,-29.49143,-28.42388
8.41,-29.41664,-30.81302,-29.23415,-26.83509,-29.56771,-28.54827
8.42,-29.34096,-30.91177,-29.21964,-27.03855,-29.6535,-28.64364
8.43,-29.25173,-31.01905,-29.19397,-27.22867,-29.7485,-28.70961
8.44,-29.15062,-31.13425,-29.15852,-27.40459,-29.85229,-28.74664
